#group,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
#datatype,string,long,double,double,double,double,long,double,double,double,double,double,long,double,double,double,double,long,double,double,double,double,long,double,double,double,double,long,double,double,long,double,string,string,dateTime:RFC3339
#default,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_field,_measurement,_time
,,0,0.372567,-0.095917,-0.514645,-0.075404,0,0.125781,2.372287,1.483294,4.310418,0.167306,0,0.287437,8.298439,1.643851,11.313491,0,0.12499,0.041775,-0.018958,0.160845,0,0.174526,1.494999,-2.67142,6.666147,0,0.227992,0.227992,0,0.4,readings,mem,2021-06-25T14:21:52.577762-04:00
,,1,0.914679,-0.09801,-1.333139,-0.12831,1,0.344834,6.134039,3.776438,10.645021,0.391545,0,0,0,4.867321,28.374434,1,0.322097,0.117205,-0.044256,0.396742,1,0.443531,3.84619,-6.900072,16.662956,0,0,0,0,1,readings,mem,2021-06-25T14:22:02.664210-04:00
,,1,0.86873,-0.240622,-1.385088,-0.055956,1,0.229303,5.385201,3.878742,10.448484,0.363305,0,0,0,5.595621,27.668255,1,0.319698,0.122084,-0.040131,0.389452,1,0.470766,4.50523,-7.182653,16.648718,0,0,0,0,1,readings,mem,2021-06-25T14:22:12.751331-04:00
,,1,0.879984,-0.060036,-1.416909,-0.00368,1,0.330351,5.993245,3.864311,10.309146,0.331277,0,0.927463,29.175929,6.027304,27.342933,1,0.386572,0.154351,-0.035818,0.383384,1,0.607008,6.864414,-7.191131,16.557295,0,0.768276,0.768276,0,1,readings,mem,2021-06-25T14:22:22.844852-04:00
,,1,0.868472,-0.165433,-1.460997,0.062278,1,0.1499,4.780659,3.842665,10.10014,0.30475,1,0.744853,22.423121,6.508889,28.336639,1,0.39144,0.124503,-0.031019,0.379099,1,0.525065,4.902638,-7.120269,16.446991,1,0.472515,0.472515,0,1,readings,mem,2021-06-25T14:22:32.933240-04:00
,,1,0.789745,-0.310695,-1.481014,0.10261,1,0.082149,4.223098,3.690931,10.045559,0.224972,0,0.46876,14.965843,7.369406,28.242521,1,0.35464,0.130853,-0.027022,0.374155,1,0.54552,5.460554,-7.110194,16.344997,0,0.303925,0.303925,0,1,readings,mem,2021-06-25T14:22:43.033038-04:00
,,0,0.294285,-0.209132,-0.591846,0.049045,0,0.012057,1.463709,1.385332,3.985476,0.069857,0,0.251138,8.310254,3.169842,11.653004,0,0.148043,0.061984,-0.008921,0.147201,0,0.215851,2.183955,-2.842028,6.485882,0,0.148004,0.148004,0,0.4,readings,mem,2021-06-25T14:22:53.119704-04:00
,,0,0,0,-1.476323,0.128895,1,0.045542,3.454319,3.300511,9.925049,0.128272,0,0,0,8.391546,28.891994,0,0,0,-0.020027,0.365128,1,0.569869,7.560859,-7.116118,16.15613,0,0,0,0,1,readings,mem,2021-06-25T14:23:03.216796-04:00
,,1,1.340907,-0.42562,-1.477136,0.142646,1,0.350172,5.441237,3.056281,9.867089,0.148209,0,0.889066,29.51222,8.693558,28.798627,1,0.569661,0.199979,-0.017918,0.361214,1,0.607991,5.829285,-7.44627,16.392587,0,0.536062,0.536062,0,1,readings,mem,2021-06-25T14:23:13.302763-04:00
,,1,0.81266,-0.155807,-1.481792,0.164197,1,0.493803,6.390452,3.070804,9.789717,0.229774,0,0,0,9.051139,28.852713,1,0.299892,0.104507,-0.015352,0.356529,1,0.493542,4.294982,-7.53213,16.334747,0,0,0,0,1,readings,mem,2021-06-25T14:23:23.390110-04:00
